id,preco
13518783164498355150900635905895481162,2363686736731723.0
299896161723793383246777788797566040330,5778973575238410.0
316180649972302128246133616457018378621,6758630300794984.0
222527157104148385909188217274642813298,7987748854062936.0
160460343059850745858546502614838368036,4762497008878039.0
262727202368986244371977784343233436999,1.1587604488200072e+16
254093764205800086330999281077926851120,7067851295028949.0
26118184613036116787803832945215674478,3503900243177716.0
216524630140335566712794225427064313,6810071597321338.0
185631381169816366226494379020452029389,3176555316190323.0
193325654448132563278364141820152041311,3426059652429785.0
238917637717691361625086479663492481749,1820981080671205.8
55430829679256880238551444522175018156,7438146958528486.0
215317645068876070368783807654911699750,2317602208227828.5
81597227204971961501733390453078413740,3644930845475122.5
144896666825908872755051834814298387194,5810541567954996.0
184599608599423525451999366981389806783,8444535592914263.0
332523842755767369964829329030378044388,1.2037113852797144e+16
115343777354602647202140618045743635008,6577296534430786.0
20757170217235469489036110086071917277,3587524205478237.5
185526399598537813925895625787601650168,3933010740219073.0
60658042813489826886245400795986219027,4011666767563352.0
252469656136469704862465423825396909961,4917574663280326.0
144289133420257677937750963126363910239,5281544564343241.0
286704706212186527658783613441315754259,8763421929455794.0
104788498292328609834480593297039083847,3109690732439324.0
83091551517048057678460117003997132666,3409033888594931.0
253819240599250454081144283787356606601,1423702559000747.0
47552100267769170589122325402191982347,4177290498436407.0
143932540867090135955180920741784357244,6502486359526763.0
196345985565471044954698780677909306202,3375687479118375.5
244792708737468723430839923035345593106,2545144070440664.5
84589940414664494482357035061818012137,6716374046101735.0
272199586960887794853261858460695880945,5935566342592690.0
49959439507026713714422386346459644032,5846991856174337.0
281026519311657672970881937258693325762,5218600391483450.0
93074564150014753673961081882123830374,4724009879028794.0
26728401390792884431172378844166640182,5425304725254028.0
188211565885838356078706489204052877949,1.3246577545096204e+16
72487946181948797581370306862646034491,2778277627739341.0
228864048115975611203958077134700148633,9816725333965316.0
112454259487642510247400972640243226784,3683147924668626.0
222663295482952330188872827964862490542,5276115492679812.0
174300102534868734265445704595501072047,8342746566445475.0
65616068149477861830943576277231644996,5051491642129076.0
12512429268260634755522419284910697215,6979840396810850.0
336344009530167442733355949279054127993,1.2700416600422744e+16
79522286518792634854353998912967788405,6125244545927570.0
82689802293775881487902613650793199776,4543736209918900.0
145087209205382180995284342956932775590,1.0118279453127678e+16
148379644220249469735831915363404593938,6938885914986671.0
81783415914068556337040372580510327746,2164554707324782.8
17392005129747944984443660408573750669,2578199738430740.5
221003909581330971303914733428302885356,3918808111490037.5
32270994133870633595828638411924379558,1.2324391578356732e+16
44743423162474884539743903954385097896,2845485746605573.5
256739781367016694034266877805520625472,6687588079222566.0
102069821313289958956134954896763391138,6733912365248847.0
295239204594155572903470420706758961711,6178916099179466.0
217043924033496343963491521400562422856,3061952928994587.0
230630223901851276472648163541398202700,2602213506969739.0
228794583325189840821498523768389390979,6748799071750151.0
226883211751919793077312253417502568887,1.1410446175468808e+16
178727794896076301413017290746899811351,1.2993006462722216e+16
233324434070255280697734700180958891999,8592381983838895.0
120196782885257163651164953359063822616,7831156953912306.0
307587965035124177469706843302286678852,2866236147741537.5
147918433942232310306879997092064646229,2430878156474462.0
322862357217576382174561616320866894896,3029940644597074.0
239523402888574028389406143855331971634,9989893156257048.0
113509983214540261664688743850173663995,8051844432925758.0
109891169875096641331353504149265117244,9096523732661224.0
14047284765259674200352849951505593080,3718710172250680.5
185048785858081984334746723407963750558,6981160924278033.0
233408161489868303803711823496315975517,5338125056577548.0
271868823659695867806389462405507434039,7864290823909145.0
234266752075173490649523075655294035700,6644260077928755.0
135193714861901808768224625797727405125,5681838351521473.0
65383514239248595231552479759479421653,2724082286768472.5
763500554236946546082152173974002095,4861743395441225.0
263071556455718053803505933844459615897,7278468604903848.0
251187863725990533753089128740859478739,1110333404279331.6
254288424794027625207128200628830798586,7690539037754048.0
286319605986498380547161295324785273852,4471060081059788.0
18156444762146185587945140921021289232,8039074658916855.0
132399590521100913284690334248594447552,9775472415717498.0
103484450878268999171337512911053865440,5004451484261966.0
3912270241651523146374566983699340012,1904949436386407.5
289442719100949424990356122406061188257,1.1415867356966448e+16
78107569099680024366542029001316825040,7834120495561233.0
35630579392702895703343792092821020757,2617895403382029.5
180495442974534219664033650975071179678,3535270320899893.0
310808003231123687601982759789167595573,9681060686969130.0
281412885789869246852489114984059535931,9030343216220356.0
115834922999693545296191213987693964898,9220133001787908.0
5731801982113473737231393645963779999,6642507222150114.0
256716164818036322373140286568690396129,5109939643612935.0
287091925155434474451326927701130603179,3475354299093779.0
34260218896401614964439670738816901101,5871757948927671.0
129711525134942617432200032446355408594,2445098431628262.0
63813447393601008165654825811986411111,2793813330590495.0
233957718806307342910872106898233148735,2971585874263178.0
138508589382193076883186189654019084427,5753652286754207.0
171762617476835661595108367117122969376,5768048269131769.0
7122736344425113322294078330615663312,8202419582506049.0
